Stock;Brand ;Brand 2;Brand 3;€ Unit;# Box;€ Box;Size;Country;Distributor;;;
;CAVALIER GENÈVE;White Series Corona  ;;14,00;20;280,00;44 X 146;Honduras;Koopmans;;;
;CAVALIER GENÈVE;White Series Diplomate  ;;15,50;20;310,00;56 X 140;Honduras;Koopmans;;;
;CAVALIER GENÈVE;White Series Elegantes  ;;14,00;20;280,00;52 X 114;Honduras;Koopmans;;;
;CAVALIER GENÈVE;White Series Salomones -58 ;;21,00;10;210,00;50 X 178;Honduras;Koopmans;;;
;CEZAR BRONNER;Cabinet Selection Belicoso BP  ;;10,50;10;105,00;57 X 152;Dom. Rep;Koopmans;;;
;CEZAR BRONNER;Cabinet Selection Coronita Box P  ;;9,50;10;95,00;46 X 127;Dom. Rep;Koopmans;;;
;CEZAR BRONNER;Cabinet Selection El Primero - ;;8,50;20;170,00;52 X 102;Dom. Rep;Koopmans;;;
;CEZAR BRONNER;Cabinet Selection Lancero  ;;9,00;16;144,00;38 X 178;Dom. Rep;Koopmans;;;
;CEZAR BRONNER;Cacique  ;;9,90;5;49,50;52 X 146;Dom. Rep;Koopmans;;;
;CEZAR BRONNER;Heritage XXL Short robusto rosado  ;;9,00;8;72,00;60 X 102;Dom. Rep;Koopmans;;;
;CHATEAU DIADEM;;Robusto ;12,50;12;150,00;;;ZABIA;;;
;CHATEAU DIADEM;;Toro;14,90;12;178,80;;;ZABIA;;;
;CHATEAU DIADEM;;Double Robusto;14,90;12;178,80;;;ZABIA;;;
;CHATEAU DIADEM;;Belicoso;15,50;12;186,00;;;ZABIA;;;
;CHATEAU DIADEM;;Lanceros ;13,00;12;156,00;;;ZABIA;;;
;CIGARKINGS;COY 24 Geniales Colorado;;16,00;12;192,00;52 X 127;Nicaragua;Koopmans;;;
;CIGARKINGS;Ft Sun Grown Gigantes  194;;19,90;48;955,20;49 X 194;Nicaragua;Koopmans;;;
;CIGARKINGS;Nicaragua Maduro Corona  ;;12,50;12;150,00;44 X 136;Nicaragua;Koopmans;;;
;CIGARKINGS;Nicaragua Maduro Elegantes  ;;13,50;12;162,00;46 X 140;Nicaragua;Koopmans;;;
;CIGARKINGS;Nicaragua Maduro robusto  ;;13,00;12;156,00;50 X 127;Nicaragua;Koopmans;;;
;CIGARKINGS;Nicaragua Maduro Toro  ;;14,00;12;168,00;52 X 152;Nicaragua;Koopmans;;;
;CIGARKINGS;Nicaragua Sun Grown robusto  ;;13,00;12;156,00;50 X 127;Nicaragua;Koopmans;;;
;CIGARKINGS;Nicaragua Sun Grown Toro  ;;14,00;12;168,00;52 X 152;Nicaragua;Koopmans;;;
;CIGARKINGS;White Wide Jalapa ;;18,00;12;216,00;55 X 127;Nicaragua;Koopmans;;;
;COHIBA LÍNEA 1492;SIGLO I;PERLAS;34,00;25;850,00;40 X 102;Cuba;Laguito;;;
